Comment,Designator,Footprint,LCSC, LCSC
"10μF","C1,C4","Capacitor_SMD:C_0805_2012Metric","","C15850"
"20pF","C5,C6","Capacitor_SMD:C_0603_1608Metric","","C1648"
"100nF","C7,C9,C8,C10,C2,C3,C11","Capacitor_SMD:C_0402_1005Metric","","C1525"
"Reset/Power","J1","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"Potentiometer","J2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"USB_B_Mini","J3","Connector_USB:USB_Mini-B_Lumberg_2486_01_Horizontal",""
"Test Points","J4","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical",""
"Controller","J5","Connector_JST:JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical",""
"STLink","J6","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"Control Mode","JP1","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm",""
"100KΩ","R1,R2","Resistor_SMD:R_0402_1005Metric","","C25741"
"1M","R3","Resistor_SMD:R_0402_1005Metric","","C26083"
"1.5KΩ","R4","Resistor_SMD:R_0402_1005Metric","","C25867"
"20Ω","R5,R6","Resistor_SMD:R_0603_1608Metric","","C22950"
"AMS1117-3.3","U1","Package_TO_SOT_SMD:SOT-223-3_TabPin2","","C6186"
"STM32F103C8Tx","U2","Package_QFP:LQFP-48_7x7mm_P0.5mm","","C8734"
"8MHz","Y1","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm","","C115962"
